owner_patch	source_path	target_path	bundle	locale	translation_id	translation_block
other/mini_installer.patch	chromium-m150:chrome/app/resources/generated_resources_af.xtb:IDS_INSTALL_FROM_DMG_TITLE	chrome/app/resources/chromium_strings_af.xtb	chromium_strings	af	2294358108254308676	"<translation id=""2294358108254308676"">Wil jy <ph name=""PRODUCT_NAME"" /> installeer?</translation>"
other/mini_installer.patch	chromium-m150:chrome/app/resources/generated_resources_am.xtb:IDS_INSTALL_FROM_DMG_TITLE	chrome/app/resources/chromium_strings_am.xtb	chromium_strings	am	2294358108254308676	"<translation id=""2294358108254308676""><ph name=""PRODUCT_NAME"" />ን መጫን ይፈልጋሉ?</translation>"
other/mini_installer.patch	chromium-m150:chrome/app/resources/generated_resources_ar.xtb:IDS_INSTALL_FROM_DMG_TITLE	chrome/app/resources/chromium_strings_ar.xtb	chromium_strings	ar	2294358108254308676	"<translation id=""2294358108254308676"">هل تريد تثبيت <ph name=""PRODUCT_NAME"" />؟</translation>"
other/mini_installer.patch	chromium-m150:chrome/app/resources/generated_resources_as.xtb:IDS_INSTALL_FROM_DMG_TITLE	chrome/app/resources/chromium_strings_as.xtb	chromium_strings	as	2294358108254308676	"<translation id=""2294358108254308676"">আপুনি <ph name=""PRODUCT_NAME"" /> ইনষ্টল কৰিব বিচাৰে নেকি?</translation>"
other/mini_installer.patch	chromium-m150:chrome/app/resources/generated_resources_az.xtb:IDS_INSTALL_FROM_DMG_TITLE	chrome/app/resources/chromium_strings_az.xtb	chromium_strings	az	2294358108254308676	"<translation id=""2294358108254308676""><ph name=""PRODUCT_NAME"" /> quraşdırmaq istəyirsiniz?</translation>"
other/mini_installer.patch	chromium-m150:chrome/app/resources/generated_resources_be.xtb:IDS_INSTALL_FROM_DMG_TITLE	chrome/app/resources/chromium_strings_be.xtb	chromium_strings	be	2294358108254308676	"<translation id=""2294358108254308676"">Сапраўды ўсталяваць <ph name=""PRODUCT_NAME"" />?</translation>"
other/mini_installer.patch	chromium-m150:chrome/app/resources/generated_resources_bg.xtb:IDS_INSTALL_FROM_DMG_TITLE	chrome/app/resources/chromium_strings_bg.xtb	chromium_strings	bg	2294358108254308676	"<translation id=""2294358108254308676"">Искате ли да инсталирате <ph name=""PRODUCT_NAME"" />?</translation>"
other/mini_installer.patch	chromium-m150:chrome/app/resources/generated_resources_bn.xtb:IDS_INSTALL_FROM_DMG_TITLE	chrome/app/resources/chromium_strings_bn.xtb	chromium_strings	bn	2294358108254308676	"<translation id=""2294358108254308676"">আপনি কি <ph name=""PRODUCT_NAME"" /> ইনস্টল করতে চান?</translation>"
other/mini_installer.patch	chromium-m150:chrome/app/resources/generated_resources_bs.xtb:IDS_INSTALL_FROM_DMG_TITLE	chrome/app/resources/chromium_strings_bs.xtb	chromium_strings	bs	2294358108254308676	"<translation id=""2294358108254308676"">Želite li instalirati aplikaciju <ph name=""PRODUCT_NAME"" />?</translation>"
other/mini_installer.patch	chromium-m150:chrome/app/resources/generated_resources_ca.xtb:IDS_INSTALL_FROM_DMG_TITLE	chrome/app/resources/chromium_strings_ca.xtb	chromium_strings	ca	2294358108254308676	"<translation id=""2294358108254308676"">Voleu instal·lar <ph name=""PRODUCT_NAME"" />?</translation>"
other/mini_installer.patch	chromium-m150:chrome/app/resources/generated_resources_cs.xtb:IDS_INSTALL_FROM_DMG_TITLE	chrome/app/resources/chromium_strings_cs.xtb	chromium_strings	cs	2294358108254308676	"<translation id=""2294358108254308676"">Chcete nainstalovat aplikaci <ph name=""PRODUCT_NAME"" />?</translation>"
